KR_Name	KR_Manning Name	KR_UniprotID	KR_Synonyms	GroupName	Family	SubFamily
Bub1	BUB1	O43683	"BUB1, BUB1L"	Other	BUB	
DDR2	DDR2	Q16832	"DDR2, NTRKR3, TKT, TYRO10"	TK	DDR	
CCK4/PTK7	CCK4	Q13308	"PTK7, CCK4"	TK	CCK4	
LIMK1	LIMK1	P53667	"LIMK1, LIMK"	TKL	LISK	LIMK
Lmr1	LMR1	Q6ZMQ8	"AATK, AATYK, KIAA0641, LMR1, LMTK1"	TK	Lmr	
Lmr2	LMR2	Q8IWU2	"LMTK2, AATYK2, BREK, KIAA1079, KPI2, LMR2"	TK	Lmr	
Lmr3	LMR3	Q96Q04	"LMTK3, KIAA1883, TYKLM3"	TK	Lmr	
EphA7	EphA7	Q15375	"EPHA7, EHK3, HEK11"	TK	Eph	
Etk/BMX	BMX	P51813	BMX	TK	Tec	
CTK	CTK	P42679	"MATK, CTK, HYL"	TK	Csk	
FRK	FRK	P42685	"FRK, PTK5, RAK"	TK	Src	
Nek6	NEK6	Q9HC98	NEK6	Other	NEK	
Nek7	NEK7	Q8TDX7	NEK7	Other	NEK	
AAK1	AAK1	Q2M2I8	"AAK1, KIAA1048"	Other	NAK	
ChaK1	ChaK1	Q96QT4	"TRPM7, CHAK1, LTRPC7"	Atypical	Alpha	ChaK
PYK2	PYK2	Q14289	"PTK2B, FAK2, PYK2, RAFTK"	TK	Fak	
Srm	SRM	Q9H3Y6	"SRMS, C20orf148"	TK	Src	
LOK	LOK	O94804	"STK10, LOK"	STE	STE20	SLK
KHS2	KHS2	Q8IVH8	"MAP4K3, RAB8IPL1"	STE	STE20	KHS
OSR1	OSR1	O95747	"OXSR1, KIAA1101, OSR1"	STE	STE20	FRAY
PAK6	PAK6	Q9NQU5	"PAK6, PAK5"	STE	STE20	PAKB
PAK4	PAK4	O96013	"PAK4, KIAA1142"	STE	STE20	PAKB
MST4	MST4	Q9P289	"MST4, MASK"	STE	STE20	YSK
STLK3	STLK3	Q9UEW8	"STK39, SPAK"	STE	STE20	FRAY
STLK5	STLK5	Q7RTN6	"STRADA, LYK5, STRAD"	STE	STE20	STLK
STLK6	STLK6	Q9C0K7	"STRADB, ALS2CR2, ILPIP, ORF Names:, PRO1038"	STE	STE20	STLK
TAO3	TAO3	Q9H2K8	"TAOK3, DPK, JIK, KDS, MAP3K18"	STE	STE20	TAO
TAO1	TAO1	Q7L7X3	"TAOK1, KIAA1361, MAP3K16, MARKK"	STE	STE20	TAO
HGK/ZC1	ZC1/HGK	O95819	"MAP4K4, HGK, KIAA0687, NIK"	STE	STE20	MSN
TNIK/ZC2	ZC2/TNIK	Q9UKE5	"TNIK, KIAA0551"	STE	STE20	MSN
MINK/ZC3	ZC3/MINK	Q8N4C8	"MINK1, B55, MAP4K6, MINK, YSK2, ZC3"	STE	STE20	MSN
NRK/ZC4	ZC4/NRK	Q7Z2Y5	NRK	STE	STE20	MSN
LATS1	LATS1	O95835	"LATS1, WARTS"	AGC	NDR	
LATS2	LATS2	Q9NRM7	"LATS2, KPM"	AGC	NDR	
CDK11	CDK11	Q9BWU1	"CDK19, CDC2L6, CDK11, KIAA1028"	CMGC	CDK	CDK8
NIM1	NIM1	Q8IY84	NIM1	CAMK	CAMKL	NIM1
ULK3	ULK3	Q6PHR2	ULK3	Other	ULK	
CLIK1L	CLIK1L	Q8N165	"PDIK1L, CLIK1L"	Other	NKF4	
TTBK2	TTBK2	Q6IQ55	"TTBK2, KIAA0847"	CK1	TTBK	
SCYL1	SCYL1	Q96KG9	"SCYL1, CVAK90, GKLP, NTKL, TAPK, TEIF, TRAP, ORF Names:, HT019"	Other	SCY1	
MASTL	MASTL	Q96GX5	"MASTL, GW, GWL, THC2"	AGC	MAST	
PINK1	PINK1	Q9BXM7	PINK1	Other	NKF2	
ULK4	ULK4	Q96C45	ULK4	Other	ULK	
MLKL	MLKL	Q8NB16	MLKL	TKL	TKL-Unique	
DCAMKL3	DCAMKL3	Q9C098	"DCLK3, DCAMKL3, DCDC3C, KIAA1765"	CAMK	DCAMKL	
SgK493	SgK493	Q504Y2	"PKDCC, SGK493, VLK"	Other	Other-Unique	
PFTAIRE2	PFTAIRE2	Q96Q40	"CDK15, ALS2CR7, PFTK2"	CMGC	CDK	TAIRE
STK33	STK33	Q9BYT3	STK33	CAMK	CAMK-Unique	
PRPK	PRPK	Q96S44	"TP53RK, C20orf64, PRPK"	Other	Bud32	
ERK7	Erk7	Q8TD08	"MAPK15, ERK7, ERK8"	CMGC	MAPK	Erk7
CDKL4	CDKL4	Q5MAI5	CDKL4	CMGC	CDKL	
SCYL3	SCYL3	Q8IZE3	"SCYL3, PACE1"	Other	SCY1	
YANK3	YANK3	Q86UX6	STK32C	AGC	YANK	
Nek9	NEK9	Q8TD19	"NEK9, KIAA1995, NEK8, NERCC"	Other	NEK	
TSSK3	TSSK3	Q96PN8	"TSSK3, SPOGA3, STK22C"	CAMK	TSSK	
NuaK2	NuaK2	Q9H093	"NUAK2, OMPHK2, SNARK"	CAMK	CAMKL	NuaK
RSKL2	RSKL2	Q9Y6S9	RPS6KL1	AGC	RSKL	
TSSK2	TSSK2	Q96PF2	"TSSK2, DGSG, SPOGA2, STK22B"	CAMK	TSSK	
SCYL2	SCYL2	Q6P3W7	"SCYL2, CVAK104, KIAA1360"	Other	SCY1	
Nek8	NEK8	Q86SG6	"NEK8, JCK, NEK12A"	Other	NEK	
BARK2/GRK3	BARK2	P35626	"ADRBK2, BARK2, GRK3"	AGC	GRK	BARK
NRBP1	NRBP1	Q9UHY1	"NRBP1, BCON3, NRBP"	Other	NRBP	
PKD2	PKD2	Q9BZL6	"PRKD2, PKD2, ORF Names:, HSPC187"	CAMK	PKD	
YANK2	YANK2	Q9NY57	"STK32B, ORF Names:, UNQ3003/PRO9744"	AGC	YANK	
CAMKK2	CaMKK2	Q96RR4	"CAMKK2, CAMKKB, KIAA0787"	Other	CAMKK	Meta
CCRK	CCRK	Q8IZL9	"CDK20, CCRK, CDCH"	CMGC	CDK	
CLK4	CLK4	Q9HAZ1	CLK4	CMGC	CLK	
CRK7	CRK7	Q9NYV4	"CDK12, CRK7, CRKRS, KIAA0904"	CMGC	CDK	CRK7
DRAK1	DRAK1	Q9UEE5	"STK17A, DRAK1"	CAMK	DAPK	
DRAK2	DRAK2	O94768	"STK17B, DRAK2"	CAMK	DAPK	
DYRK3	DYRK3	O43781	DYRK3	CMGC	DYRK	Dyrk2
PKD3	PKD3	O94806	"PRKD3, EPK2, PRKCN"	CAMK	PKD	
GCN2	GCN2	Q9P2K8	"EIF2AK4, GCN2, KIAA1338"	Other	PEK	GCN2
SgK494	SgK494	Q96LW2	"SGK494, SgK494"	AGC	RSK	
SgK495	SgK495	Q8N2I9	"STK40, SGK495, SHIK"	CAMK	CAMK-Unique	
CLIK1	CLIK1	Q8TDR2	"STK35, CLIK1, PDIK1, STK35L1"	Other	NKF4	
HH498	HH498	Q59H18	"TNNI3K, CARK"	TKL	MLK	HH498
HIPK2	HIPK2	Q9H2X6	HIPK2	CMGC	DYRK	HIPK
HRI	HRI	Q9BQI3	"EIF2AK1, HRI, KIAA1369, ORF Names:, PRO1362"	Other	PEK	
ICK	ICK	Q9UPZ9	"ICK, KIAA0936"	CMGC	RCK	
IRE2	IRE2	Q76MJ5	"ERN2, IRE2"	Other	IRE	
PASK	PASK	Q96RG2	"PASK, KIAA0135"	CAMK	CAMKL	PASK
NDR2	NDR2	Q9Y2H1	"STK38L, KIAA0965, NDR2"	AGC	NDR	
QSK	QSK	Q9Y2K2	"SIK3, KIAA0999, QSK"	CAMK	CAMKL	QIK
HUNK	HUNK	P57058	"HUNK, MAKV"	CAMK	CAMKL	HUNK
MEKK6/MAP3K6	MAP3K6	O95382	"MAP3K6, ASK2, MAPKKK6, MEKK6"	STE	STE11	
ZAK	ZAK	Q9NYL2	"MLTK, ZAK, ORF Names:, HCCS4"	TKL	MLK	MLK
MOK	MOK	Q9UQ07	"MOK, RAGE, RAGE1"	CMGC	RCK	
MPSK1	MPSK1	O75716	"STK16, MPSK1, PKL12, TSF1"	Other	NAK	
MSSK1	MSSK1	Q9UPE1	"SRPK3, STK23 , EMBL EAW72812.1, ORF Names:, hCG_39220 , EMBL EAW72812.1"	CMGC	SRPK	
WNK1	Wnk1	Q9H4A3	"WNK1, HSN2, KDP, KIAA0344, PRKWNK1"	Other	Wnk	
CDKL3	CDKL3	Q8IVW4	CDKL3	CMGC	CDKL	
PAK5	PAK5	Q9P286	"PAK7, KIAA1264, PAK5"	STE	STE20	PAKB
PKN3	PKN3	Q6P5Z2	"PKN3, PKNBETA"	AGC	PKN	
QIK	QIK	Q9H0K1	"SIK2, KIAA0781, QIK, SNF1LK2"	CAMK	CAMKL	QIK
MARK4	MARK4	Q96L34	"MARK4, KIAA1860, MARKL1"	CAMK	CAMKL	MARK
SgK496	SgK496	Q6XUX3	"DSTYK, KIAA0472, RIP5, RIPK5, SGK496, ORF Names:, HDCMD38P"	Other	Other-Unique	
RSKL1	RSKL1	Q96S38	"RPS6KC1, RPK118"	AGC	RSKL	
RSK4	RSK4	Q9UK32	"RPS6KA6, RSK4"	AGC	RSK	RSK
NRBP2	NRBP2	Q9NSY0	"NRBP2, ORF Names:, PP9320, TRG16"	Other	NRBP	
SgK071	SgK071	Q8NE28	"SGK071, C9orf96"	Other	Other-Unique	
SGK2	SGK2	Q9HBY8	SGK2	AGC	SGK	
SSTK	SSTK	Q9BXA6	"TSSK6, SSTK, ORF Names:, FKSG82"	CAMK	TSSK	
SGK3	SGK3	Q96BR1	"SGK3, CISK, SGKL"	AGC	SGK	
TTBK1	TTBK1	Q5TCY1	"TTBK1, BDTK, KIAA1855"	CK1	TTBK	
DCAMKL2	DCAMKL2	Q8N568	"DCLK2, DCAMKL2, DCDC3B, DCK2"	CAMK	DCAMKL	
Slob	Slob	Q7Z7A4	PXK	Other	Slob	
PBK	PBK	Q96KB5	"PBK, TOPK"	Other	TOPK	
SuRTK106	SuRTK106	Q6J9G0	"STYK1, NOK"	TK	TK-Unique	
TBK1	TBK1	Q9UHD2	"TBK1, NAK"	Other	IKK	
TESK2	TESK2	F5GWP9	TESK2	TKL	LISK	TESK
Trad	Trad	C9JQ37	"KALRN, ORF Names:, hCG_2039851 , EMBL EAW79410.1"	CAMK	Trio	
TSSK4	TSSK4	Q6SA08	"TSSK4, C14orf20, STK22E, TSSK5"	CAMK	TSSK	
VRK3	VRK3	Q8IV63	VRK3	CK1	VRK	
caMLCK	caMLCK	Q32MK0	"MYLK3, MLCK"	CAMK	MLCK	
SPEG	SPEG	Q15772	"SPEG, APEG1, KIAA1297"	CAMK	Trio	
CK1[alpha]2	CK1a2	Q8N752	CSNK1A1L	CK1	CK1	
ANKRD3	ANKRD3	P57078	RIPK4	TKL	RIPK	
Nek5	NEK5	Q6P3R8	NEK5	Other	NEK	
CaMK1[delta]	CaMK1d	Q8IU85	"CAMK1D, CAMKID"	CAMK	CAMK1	
MAP3K8	MAP3K8	Q56UN5	"MAP3K19, RCK, YSK4"	STE	STE11	
Nek11	NEK11	Q8NG66	NEK11	Other	NEK	
GRK7	GPRK7	Q8WTQ7	"GRK7, GPRK7"	AGC	GRK	GRK
SgK069	SgK069	P0C263	"SBK2, SGK069"	Other	NKF1	
HIPK4	HIPK4	Q8NE63	HIPK4	CMGC	DYRK	HIPK
MYO3B	MYO3B	Q8WXR4	MYO3B	STE	STE20	NinaC
WNK4	Wnk4	Q96J92	"WNK4, PRKWNK4"	Other	Wnk	
SgK110	SgK110	P0C264	SGK110	Other	NKF1	
BRSK1	BRSK1	Q8TDC3	"BRSK1, KIAA1811, SAD1, SADB"	CAMK	CAMKL	BRSK
Obscn	Obscn	Q5VST9	"OBSCN, KIAA1556, KIAA1639"	CAMK	Trio	
PSKH2	PSKH2	Q96QS6	PSKH2	CAMK	PSK	
SIK	SIK	P57059	"SIK1, SIK, SNF1LK"	CAMK	CAMKL	QIK
KSR2	KSR2	Q6VAB6	KSR2	TKL	RAF	
RIOK3	RIOK3	O14730	"RIOK3, SUDD"	Atypical	RIO	RIO3
ADCK3	ADCK3	Q8NI60	"ADCK3, CABC1, ORF Names:, PP265"	Atypical	ABC1	ABC1-A
RIOK1	RIOK1	Q9BRS2	RIOK1	Atypical	RIO	RIO1
YANK1	YANK1	Q8WU08	STK32A	AGC	YANK	
SNRK	SNRK	Q9NRH2	"SNRK, KIAA0096, SNFRK"	CAMK	CAMKL	SNRK
EphA10	EphA10	J3KPB5	EPHA10	TK	Eph	
SgK196	SgK196	Q9H5K3	SGK196	Other	Other-Unique	
MYO3A	MYO3A	Q8NEV4	MYO3A	STE	STE20	NinaC
WNK3	Wnk3	Q9BYP7	"WNK3, KIAA1566, PRKWNK3"	Other	Wnk	
SgK223	SgK223	Q86YV5	SGK223	Other	NKF3	
Nek10	NEK10	Q6ZWH5	NEK10	Other	NEK	
EphA6	EphA6	Q9UF33	"EPHA6, EHK2, HEK12"	TK	Eph	
CK1[gamma]1	CK1g1	Q9HCP0	CSNK1G1	CK1	CK1	
SgK269	SgK269	Q9H792	"PEAK1, KIAA2002"	Other	NKF3	
SBK	SBK	Q52WX2	SBK1	Other	NKF1	
SgK396	SgK396	Q9BXU1	"STK31, SGK396"	Other	Other-Unique	
SgK288	SgK288	Q8NFD2	"ANKK1, PKK2, SGK288"	TKL	RIPK	
KIS	KIS	Q8TAS1	"UHMK1, KIS, KIST"	Other	Other-Unique	
CaMK1[beta]	CaMK1b	Q6P2M8	PNCK	CAMK	CAMK1	
TBCK	TBCK	Q8TEA7	"TBCK, TBCKL, ORF Names:, HSPC302"	Other	TBCK	
SMG1	SMG1	Q96Q15	"SMG1, ATX, KIAA0421, LIP"	Atypical	PIKK	SMG1
skMLCK	skMLCK	Q9H1R3	MYLK2	CAMK	MLCK	
MAP3K7	MAP3K7	O43318	"MAP3K15, ASK3"	STE	STE11	
LRRK2	LRRK2	Q5S007	"LRRK2, PARK8"	TKL	LRRK	
MLK4	MLK4	Q5TCX8	"MLK4, KIAA1804"	TKL	MLK	MLK
Haspin	Haspin	Q8TF76	GSG2	Other	Haspin	
Trb3	Trb3	Q96RU7	"TRIB3, C20orf97, NIPK, SKIP3, TRB3"	CAMK	Trbl	
CRIK	CRIK	O14578	"CIT, CRIK, KIAA0949, STK21"	AGC	DMPK	
CAMKK1	CaMKK1	Q8N5S9	"CAMKK1, CAMKKA"	Other	CAMKK	Meta
LRRK1	LRRK1	Q38SD2	"LRRK1, KIAA1790"	TKL	LRRK	
SgK307	SgK307	Q8IWB6	"TEX14, SGK307"	Other	NKF5	
MAST4	MAST4	O15021	"MAST4, KIAA0303"	AGC	MAST	
CaMK2[delta]	CaMK2d	Q13557	"CAMK2D, CAMKD"	CAMK	CAMK2	
BIKE	BIKE	Q9NSY1	"BMP2K, BIKE, ORF Names:, HRIHFB2017"	Other	NAK	
TSSK1	TSSK1	Q9BXA7	"TSSK1B, SPOGA1, SPOGA4, STK22A, STK22D, TSSK1, ORF Names:, FKSG81"	CAMK	TSSK	
SgK424	SgK424	Q8IWB6	"TEX14, SGK307"	Other	NKF5	
SgK085	SgK085	Q86YV6	"MYLK4, SGK085"	CAMK	MLCK	
ADCK2	ADCK2	Q7Z695	"ADCK2, AARF"	Atypical	ABC1	ABC1-C
DAPK3	DAPK3	O43293	"DAPK3, ZIPK"	CAMK	DAPK	
Wee1B	Wee1B	P0C1S8	"WEE2, WEE1B"	Other	WEE	
RNAseL	RNAseL	Q05823	"RNASEL, RNS4"	Other	Other-Unique	
ChaK2	ChaK2	Q9BX84	"TRPM6, CHAK2"	Atypical	Alpha	ChaK
RIOK2	RIOK2	Q9BVS4	RIOK2	Atypical	RIO	RIO2
AlphaK2	AlphaK2	Q86TB3	"ALPK2, HAK"	Atypical	Alpha	
AlphaK3	AlphaK3	Q96QP1	"ALPK1, KIAA1527, LAK"	Atypical	Alpha	
Brd2	BRD2	P25440	"BRD2, KIAA9001, RING3"	Atypical	BRD	
Brd3	BRD3	Q15059	"BRD3, KIAA0043, RING3L"	Atypical	BRD	
Brd4	BRD4	Q4G0X8	"BRD4, EMBL AAH35266.1, ORF Names:, hCG_2000917 , EMBL EAW84470.1"	Atypical	BRD	
BrdT	BRDT	Q58F21	BRDT	Atypical	BRD	
AlphaK1	AlphaK1	Q96L96	"ALPK3, KIAA1330, MAK"	Atypical	Alpha	
ADCK5	ADCK5	Q3MIX3	ADCK5	Atypical	ABC1	ABC1-B
TIF[alpha]	TIF1a	O15164	"TRIM24, RNF82, TIF1, TIF1A"	Atypical	TIF1	
TIF1[beta]	TIF1b	Q13263	"TRIM28, KAP1, RNF96, TIF1B"	Atypical	TIF1	
TIF1[gamma]	TIF1g	Q9UPN9	"TRIM33, KIAA1113, RFG7, TIF1G"	Atypical	TIF1	
JAK1~b	Domain2_JAK1	P23458	"JAK1, JAK1A, JAK1B"	TK	JakB	
JAK2~b	Domain2_JAK2	O60674	JAK2	TK	JakB	
JAK3~b	Domain2_JAK3	P52333	JAK3	TK	JakB	
MSK1~b	Domain2_MSK1	O75582	"RPS6KA5, MSK1"	CAMK	RSKb	MSKb
MSK2~b	Domain2_MSK2	O75676	"RPS6KA4, MSK2"	CAMK	RSKb	MSKb
RSK1~b	Domain2_RSK1	Q15349	"RPS6KA2, MAPKAPK1C, RSK3"	CAMK	RSKb	RSKb
RSK2~b	Domain2_RSK2	P51812	"RPS6KA3, ISPK1, MAPKAPK1B, RSK2"	CAMK	RSKb	RSKb
RSK3~b	Domain2_RSK3	Q15418	"RPS6KA1, MAPKAPK1A, RSK1"	CAMK	RSKb	RSKb
Tyk2~b	Domain2_TYK2	P29597	TYK2	TK	JakB	
GCN2~b	Domain2_GCN2	Q9P2K8	"EIF2AK4, GCN2, KIAA1338"	STE	STE-Unique	
RSK4~b	Domain2_RSK4	Q9UK32	"RPS6KA6, RSK4"	CAMK	RSKb	RSKb
SPEG~b	Domain2_SPEG	Q15772	"SPEG, APEG1, KIAA1297"	CAMK	Trio	
Obscn~b	Domain2_Obscn	Q5VST9	"OBSCN, KIAA1556, KIAA1639"	CAMK	Trio	
